A	B	C	D	E
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 64.875814 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 95.403206 	 29.897213
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 57.945771 	 25.569389
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 72.284909 	 31.339389
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 93.341486 	 15.072513
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 86.268171 	 8.546076
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 105.900407 	 33.288986
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 117.941856 	 8.739077
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 24.550066 	 5.900968
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 100.964135 	 15.185456
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 114.079623 	 39.994988
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 24.599110 	 1.503000
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 105.435453 	 29.574615
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 43.665608 	 9.941458
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 26.930888 	 6.593078
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 54.484343 	 14.913457
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 52.968858 	 3.611969
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 129.933531 	 39.989379
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 50.104589 	 27.871196
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 46.369356 	 6.870968
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 91.616126 	 27.551213
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 87.551425 	 6.687079
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 80.522360 	 6.707968
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 75.624691 	 11.785456
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 77.872752 	 22.539389
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 75.687715 	 26.504615
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 90.741894 	 24.021389
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 43.758482 	 6.431968
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 50.042867 	 9.790458
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 23.671460 	 7.238968
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 45.042823 	 4.015969
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 38.310890 	 6.701076
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 58.441121 	 15.094457
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 125.431718 	 37.276379
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 41.805906 	 11.995456
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 66.362193 	 2.113000
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 86.905173 	 27.742213
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 75.102699 	 22.681389
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 104.505068 	 6.746079
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 82.770612 	 27.092615
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 109.466830 	 22.129198
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 114.467508 	 6.841968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 95.775367 	 23.967389
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 37.651666 	 7.582458
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 38.982740 	 8.055077
