A	B	C	D	E
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 36.999449 	 17.714457
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 112.279135 	 39.978379
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 42.292734 	 7.402458
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 44.826071 	 10.039968
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 37.565106 	 8.546076
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 31.330568 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 63.172510 	 29.897213
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 52.350975 	 9.174000
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 69.021317 	 8.739077
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 43.498077 	 25.569389
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 58.623422 	 15.185456
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 72.275951 	 31.339389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 97.129620 	 33.288986
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 100.767364 	 15.072513
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 82.691244 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 21.419206 	 5.900968
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 97.961251 	 29.574615
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 126.933770 	 39.994988
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 25.742385 	 6.687079
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 25.850857 	 1.503000
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 42.496821 	 9.941458
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 26.106455 	 6.593078
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 47.523131 	 14.913457
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 48.725932 	 27.551213
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 23.849482 	 6.870968
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 44.841475 	 22.539389
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 55.680106 	 8.904998
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 71.118501 	 4.015969
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 76.442558 	 11.785456
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 81.600930 	 24.021389
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 89.720603 	 26.504615
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 113.855664 	 6.707968
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 98.125319 	 37.276379
