A	B	C	D	E
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 29.954373 	 6.431968
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 22.823120 	 2.113000
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 36.972042 	 9.790458
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 122.062704 	 26.504615
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 53.190362 	 27.742213
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 41.029918 	 6.701076
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 31.167606 	 7.238968
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 61.308564 	 15.094457
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 53.293248 	 3.611969
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 62.485099 	 6.746079
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 54.267620 	 22.681389
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 50.059860 	 27.092615
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 80.061350 	 6.841968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 68.786059 	 23.967389
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 79.497903 	 11.995456
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 104.363608 	 22.129198
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 97.894601 	 37.405379
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 32.900646 	 9.913968
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 37.235973 	 17.417457
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 42.508796 	 7.582458
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 37.493999 	 7.877078
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 63.207216 	 7.786513
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 45.512837 	 15.579456
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 52.380497 	 9.973968
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 67.161745 	 9.174000
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 87.297989 	 29.576213
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 99.667049 	 8.055077
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 70.586835 	 25.660389
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 92.392894 	 7.987889
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 87.217005 	 31.445389
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 120.977220 	 32.948987
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 102.314383 	 39.978379
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 116.962191 	 29.055615
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 32.917780 	 10.039968
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 48.502667 	 17.714457
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 52.043512 	 7.402458
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 65.897331 	 8.739077
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 49.935606 	 31.339389
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 61.254694 	 8.546076
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 53.784572 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 84.799956 	 29.897213
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 90.239571 	 15.072513
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 75.702397 	 25.569389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 113.025386 	 33.288986
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 110.872873 	 27.871196
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 123.079623 	 39.994988
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 105.921797 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 23.890705 	 5.900968
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 130.671389 	 15.185456
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 122.276253 	 29.574615
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 37.655776 	 14.913457
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 44.918069 	 9.941458
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 28.589754 	 6.593078
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 43.417595 	 4.015969
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 34.776433 	 6.707968
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 55.195601 	 27.551213
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 31.933244 	 6.870968
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 68.460120 	 1.503000
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 63.702244 	 8.904998
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 74.961220 	 6.687079
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 62.011219 	 22.539389
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 69.915915 	 24.021389
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 82.634372 	 11.785456
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 105.377364 	 37.276379
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 25.888873 	 6.431968
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 120.962951 	 26.504615
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 39.252852 	 15.094457
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 48.878898 	 9.790458
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 49.142317 	 27.742213
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 31.150790 	 6.701076
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 23.348963 	 7.238968
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 50.617761 	 6.746079
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 54.287921 	 3.611969
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 49.007476 	 22.129198
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 66.795120 	 2.113000
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 48.434112 	 27.092615
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 59.765806 	 22.681389
